County,Date,Count
Collier,2020-07-24,1
Collier,2020-07-25,1
Collier,2020-07-26,2
Collier,2020-07-27,3
Collier,2020-07-28,3
Collier,2020-07-29,8
Collier,2020-07-30,3
Collier,2020-07-31,2
Collier,2020-08-01,1
Collier,2020-08-04,3
Collier,2020-08-05,3
Collier,2020-08-07,2
Collier,2020-08-09,3
Collier,2020-08-10,1
Collier,2020-08-11,3
Collier,2020-08-12,2
Collier,2020-08-13,2
Collier,2020-08-15,1
Collier,2020-08-17,1
Collier,2020-08-18,1
Collier,2020-08-20,1
Collier,2020-08-21,1
Collier,2020-08-24,3
Collier,2020-08-25,1
Collier,2020-08-26,1
Collier,2020-08-27,2
Collier,2020-08-28,1
Collier,2020-08-31,4
Collier,2020-09-02,1
Collier,2020-09-03,3
Collier,2020-09-04,1
Collier,2020-09-06,1
Collier,2020-09-07,3
Collier,2020-09-11,1
Collier,2020-09-14,1
Collier,2020-09-15,1
Collier,2020-09-17,2
Collier,2020-09-18,2
Collier,2020-09-22,1
Collier,2020-09-25,1
Collier,2020-09-28,1
Collier,2020-09-30,2
Collier,2020-10-01,1
Collier,2020-10-05,1
Collier,2020-10-08,1
Collier,2020-10-13,2
Collier,2020-10-14,1
Collier,2020-10-16,1
Collier,2020-10-18,1
Collier,2020-10-21,1
Collier,2020-10-28,1
Collier,2020-10-29,2
Collier,2020-10-30,1
Collier,2020-10-31,1
Collier,2020-11-03,1
Collier,2020-11-10,2
Columbia,2020-04-18,1
Columbia,2020-04-22,1
Columbia,2020-05-17,1
Columbia,2020-06-28,1
Columbia,2020-06-30,1
Columbia,2020-07-02,1
Columbia,2020-07-03,2
Columbia,2020-07-07,1
Columbia,2020-07-08,1
Columbia,2020-07-10,3
Columbia,2020-07-12,2
Columbia,2020-07-13,1
Columbia,2020-07-14,1
Columbia,2020-07-15,2
Columbia,2020-07-16,2
Columbia,2020-07-17,1
Columbia,2020-07-20,2
Columbia,2020-07-22,2
Columbia,2020-07-23,2
Columbia,2020-07-24,1
Columbia,2020-07-27,2
Columbia,2020-07-28,4
Columbia,2020-07-30,1
Columbia,2020-07-31,4
Columbia,2020-08-02,1
Columbia,2020-08-06,3
Columbia,2020-08-07,1
Columbia,2020-08-08,1
Columbia,2020-08-10,2
Columbia,2020-08-11,1
